土謝圖汗部土謝圖汗部左翼左中末旗,土謝圖汗部,土謝圖汗部左翼左中末旗
八番蠻夷官中嶆等處蠻夷軍民長官司,八番蠻夷官,中嶆等處蠻夷軍民長官司
諸北京留守軍衛、千戶所、院錦衣衛,諸北京留守軍衛、千戶所、院,錦衣衛
江南諸道行御史臺江南浙西廉訪司道,江南諸道行御史臺,江南浙西廉訪司道
江南諸道行御史臺浙東海右廉訪司道,江南諸道行御史臺,浙東海右廉訪司道
唐代道行軍(地區未詳)楡關道行軍,唐代道行軍(地區未詳),楡關道行軍
思州軍民大萬山等處蠻夷軍民長官司,思州軍民,大萬山等處蠻夷軍民長官司
思茅地鎮沅彝族哈尼族拉祜族自治縣,思茅地,鎮沅彝族哈尼族拉祜族自治縣
唐代道行軍(地區未詳)崑山道行軍,唐代道行軍(地區未詳),崑山道行軍
八番蠻夷官白納等處蠻夷軍民長官司,八番蠻夷官,白納等處蠻夷軍民長官司
江南諸道行御史臺嶺南廣西廉訪司道,江南諸道行御史臺,嶺南廣西廉訪司道
都勻衛軍民指九名九姓獨山州長官司,都勻衛軍民指,九名九姓獨山州長官司
四川行都指揮使會川衛軍民指揮使司,四川行都指揮使,會川衛軍民指揮使司
四川行都指揮使越嶲衛軍民指揮使司,四川行都指揮使,越嶲衛軍民指揮使司
諸北京留守軍衛、千戶所、院昭陵衛,諸北京留守軍衛、千戶所、院,昭陵衛
唐代道行軍(地區未詳)浿江道行軍,唐代道行軍(地區未詳),浿江道行軍
四川都指揮使司疊溪守禦軍民千戶所,四川都指揮使司,疊溪守禦軍民千戶所
唐代道行軍(地區未詳)靈武道行軍,唐代道行軍(地區未詳),靈武道行軍
八番蠻夷官陳蒙等處蠻夷軍民長官司,八番蠻夷官,陳蒙等處蠻夷軍民長官司
大理白族自治州蘶山彝族回族自治縣,大理白族自治州,蘶山彝族回族自治縣
沿邊溪洞招討使司沿邊溪洞招討使司,沿邊溪洞招討使司,沿邊溪洞招討使司
諸北京留守軍衛、千戶所、院泰陵衛,諸北京留守軍衛、千戶所、院,泰陵衛
巴音郭楞蒙古自治州焉耆回族自治縣,巴音郭楞蒙古自治州,焉耆回族自治縣
唐代道行軍(地區未詳)凉州道行軍,唐代道行軍(地區未詳),凉州道行軍
諸北京留守軍衛、千戶所、院濟陽衛,諸北京留守軍衛、千戶所、院,濟陽衛
唐代道行軍(地區未詳)熊津道行軍,唐代道行軍(地區未詳),熊津道行軍
遼東都指揮使司百尺崖備禦後千戶所,遼東都指揮使司,百尺崖備禦後千戶所
遼東都指揮使司王徐寨備禦前千戶所,遼東都指揮使司,王徐寨備禦前千戶所
唐代道行軍(地區未詳)東南道行軍,唐代道行軍(地區未詳),東南道行軍
諸北京留守軍衛、千戶所、院旗手衛,諸北京留守軍衛、千戶所、院,旗手衛
都勻衛軍民指揮使合江陳蒙爛長官司,都勻衛軍民指揮使,合江陳蒙爛長官司
唐代道行軍(地區未詳)定襄道行軍,唐代道行軍(地區未詳),定襄道行軍
江南諸道行御史臺海北海南廉訪司道,江南諸道行御史臺,海北海南廉訪司道
陝西都指揮使西固城守禦軍民千戶所,陝西都指揮使,西固城守禦軍民千戶所
貴州都指揮使司新添衛軍民指揮使司,貴州都指揮使司,新添衛軍民指揮使司
江南諸道行御史臺江東建康廉訪司道,江南諸道行御史臺,江東建康廉訪司道
土謝圖汗部土謝圖汗部右翼右末次旗,土謝圖汗部,土謝圖汗部右翼右末次旗
唐代道行軍(地區未詳)鷄林道行軍,唐代道行軍(地區未詳),鷄林道行軍
新疆維吾爾自治巴音郭楞蒙古自治州,新疆維吾爾自治,巴音郭楞蒙古自治州
陝西諸道行御史臺西蜀四川廉訪司道,陝西諸道行御史臺,西蜀四川廉訪司道
陝西諸道行御史臺河西隴北廉訪司道,陝西諸道行御史臺,河西隴北廉訪司道
唐代節度(地區未詳)晉絳慈軍節度,唐代節度(地區未詳),晉絳慈軍節度
四川行都指揮使禮州守禦中中千戶所,四川行都指揮使,禮州守禦中中千戶所
唐代道行軍(地區未詳)西海道行軍,唐代道行軍(地區未詳),西海道行軍
新疆維吾爾自治區伊犁哈薩克自治州,新疆維吾爾自治區,伊犁哈薩克自治州
諸北京留守軍衛、千戶所、院長陵衛,諸北京留守軍衛、千戶所、院,長陵衛
思茅地孟連  族拉祜族佤族自治縣,思茅地,孟連  族拉祜族佤族自治縣
四川行都指揮使鹽井衛軍民指揮使司,四川行都指揮使,鹽井衛軍民指揮使司
江南諸道行御史臺嶺北湖南廉訪司道,江南諸道行御史臺,嶺北湖南廉訪司道
諸北京留守軍衛、千戶所、院府軍衛,諸北京留守軍衛、千戶所、院,府軍衛
諸北京留守軍衛、千戶所、院裕陵衛,諸北京留守軍衛、千戶所、院,裕陵衛
打箭爐直隸廳打箭爐直隸廳直轄地方,打箭爐直隸廳,打箭爐直隸廳直轄地方
唐代道行軍(地區未詳)渭北道行軍,唐代道行軍(地區未詳),渭北道行軍
札薩克圖汗部扎薩克圖汗兼右翼左旗,札薩克圖汗部,扎薩克圖汗兼右翼左旗
四川行都指揮使蘇州衛軍民指揮使司,四川行都指揮使,蘇州衛軍民指揮使司
喀什地區塔什庫爾干塔吉克族自治縣,喀什地區,塔什庫爾干塔吉克族自治縣
西雙版納  族[Menghai],西雙版納  族,[Menghai]
湖廣都指揮使司施州衛軍民指揮使司,湖廣都指揮使司,施州衛軍民指揮使司
札薩克圖汗部扎萨克圖汗部右翼前旗,札薩克圖汗部,扎萨克圖汗部右翼前旗
四川行都指揮使寧番衛軍民指揮使司,四川行都指揮使,寧番衛軍民指揮使司
黔南布依族苗族自治三都水族自治縣,黔南布依族苗族自治,三都水族自治縣
札薩克圖汗部扎萨克圖汗部右翼后旗,札薩克圖汗部,扎萨克圖汗部右翼后旗
金齒軍民指揮使司金齒軍民指揮使司,金齒軍民指揮使司,金齒軍民指揮使司
江南諸道行御史臺福建閩海廉訪司道,江南諸道行御史臺,福建閩海廉訪司道
雲南都指揮使司龍裏衛軍民指揮使司,雲南都指揮使司,龍裏衛軍民指揮使司
會川衛軍民指揮使司迷易守禦千戶所,會川衛軍民指揮使司,迷易守禦千戶所
唐代道行軍(地區未詳)洮河道行軍,唐代道行軍(地區未詳),洮河道行軍
